,Year,Demographics.Total,Education.Major,Salaries.Mean,Salaries.Median,Salaries.Quantity,Salaries.Standard Deviation,Demographics.Ethnicity.Asians,Demographics.Ethnicity.Minorities,Demographics.Ethnicity.Whites,Demographics.Gender.Females,Demographics.Gender.Males,Education.Degrees.Bachelors,Education.Degrees.Doctorates,Education.Degrees.Masters,Education.Degrees.Professionals
0,1993,1295598,Biological Sciences,160585.73,51000,13432,297818.25,84495,115016,1094775,551695,743903,671374,90543,248813,284869
1,1993,211875,Chemical Engineering,126176.52,56000,3375,245705.77,27531,11278,173067,32205,179670,125883,17024,61809,7159
2,1993,507616,Chemistry,148872,60000,7834,276000.33,49984,35181,421911,135802,371814,243247,83078,101591,79700
3,1993,336366,Civil Engineering,129070.55,50000,4035,259543.49,37295,17421,281442,21022,315344,235237,9884,87754,3490
4,1993,1070111,Computer Science and Math,134299.53,49000,9996,269323.82,83826,98047,887476,386111,684000,746586,46308,258567,18650
5,1993,641634,Economics,158542.76,50000,3452,299207.48,43953,41702,555979,151565,490069,412615,22913,145042,61064
6,1993,653614,Electrical Engineering,113262.51,57000,7259,222253.95,78979,40355,534220,34011,619603,443589,25943,174313,9770
7,1993,257809,Management & Administration,124761.62,48000,2073,257410.75,15960,21024,220119,59003,198806,170226,6470,78931,2182
8,1993,512533,Mechanical Engineering,119635.9,52000,5711,240591.47,48879,22032,441398,23639,488894,370138,16239,120064,6092
9,1993,704259,Other Engineering,145709.93,50000,8525,285418.12,52986,37638,612910,62328,641931,484588,24678,182727,12266
10,1993,220883,Physics and Astronomy,195036.54,62000,4797,332310.7,26170,10484,184125,22448,198434,94765,48147,69274,8696
11,1993,1301889,Psychology,257851.2,48000,9059,397375.06,34473,130616,1136725,772649,529240,805194,73125,347624,75946
47,1995,1338108,Biological Sciences,54523.54,47000,11130,35304.27,92708,119813,1123768,579614,758494,708320,97866,256862,275060
48,1995,217727,Chemical Engineering,58896.72,57000,2653,28778.97,29745,12644,175338,33731,183996,128954,18113,63855,6805
49,1995,507228,Chemistry,60697.6,57000,6617,35623.28,49393,36562,421046,140363,366865,243778,84684,105201,73565
50,1995,345038,Civil Engineering,51758.63,50000,3273,25567.75,39586,18806,286397,24979,320059,240167,10094,91371,3406
51,1995,1114519,Computer Science and Math,49672.61,47000,8079,27110.39,87310,103423,923026,401758,712760,776359,49525,271247,17387
52,1995,658039,Economics,50778.48,43000,2853,38058.83,46146,42052,569841,157069,500970,417262,23886,152710,64180
53,1995,675226,Electrical Engineering,58165.47,56000,6152,26454.65,88354,42981,543890,36905,638321,449221,27001,187948,11056
54,1995,257747,Management & Administration,49707.08,48000,1468,24079.2,17104,21713,218230,60877,196870,165470,6954,83012,2310
55,1995,524019,Mechanical Engineering,54028.15,50000,4653,25098.31,50780,23561,449528,26645,497374,372399,16685,127905,7031
56,1995,708304,Other Engineering,51350.77,50000,6480,26971.9,53943,39247,614371,67765,640539,479084,27031,190539,11651
57,1995,223931,Physics and Astronomy,56423.7,55000,4050,30905.84,26353,10632,186866,23565,200366,92441,51020,70766,9705
58,1995,1404991,Psychology,42852.08,37000,7558,31471.55,39939,146971,1217769,860723,544268,873382,81860,377286,72463
94,1997,1424192,Biological Sciences,56631.83,48000,11318,36400.4,103420,129773,1189282,627727,796465,760986,102466,271051,289689
